Symbol,Element,AtomicMass,Category,Phase,f_std_Hz,f_phi2_Hz,phase_damping,f_std_phase_Hz,f_phi2_phase_Hz
H,Hydrogen,1.007,Con,gas,2.2681091177411725e+23,8.663405927835908e+22,0.6,1.3608654706447035e+23,5.198043556701544e+22
He,Helium,4.002,Div,gas,9.013875560278226e+23,3.4429940936642806e+23,0.6,5.4083253361669355e+23,2.0657964561985683e+23
Li,Lithium,6.941,Off,solid,1.5633510810567507e+24,5.971469766147869e+23,1.0,1.5633510810567507e+24,5.971469766147869e+23
Be,Beryllium,9.012,Neu,solid,2.0298112581016336e+24,7.753189098476386e+23,1.0,2.0298112581016336e+24,7.753189098476386e+23
B,Boron,10.811,Div,solid,2.435007713197599e+24,9.300901835733268e+23,1.0,2.435007713197599e+24,9.300901835733268e+23
C,Carbon,12.011,Con,solid,2.705288839442823e+24,1.0333283872814012e+24,1.0,2.705288839442823e+24,1.0333283872814012e+24
N,Nitrogen,14.007,Off,gas,3.1548564460973794e+24,1.2050479327824983e+24,0.6,1.8929138676584276e+24,7.230287596694989e+23
O,Oxygen,15.999,Ret,gas,3.603523115664451e+24,1.3764233509379018e+24,0.6,2.1621138693986707e+24,8.258540105627411e+23
F,Fluorine,18.998,Div,gas,4.279000697005641e+24,1.6344328283716644e+24,0.6,2.567400418203384e+24,9.806596970229986e+23
Ne,Neon,20.18,Div,gas,4.5452276063571864e+24,1.7361224590241175e+24,0.6,2.7271365638143117e+24,1.0416734754144705e+24
Na,Sodium,22.99,Neu,solid,5.178135910314754e+24,1.9778719193738585e+24,1.0,5.178135910314754e+24,1.9778719193738585e+24
Mg,Magnesium,24.305,Neu,solid,5.474318977825144e+24,2.0910037842706233e+24,1.0,5.474318977825144e+24,2.0910037842706233e+24
Al,Aluminum,26.982,Off,solid,6.077271123623865e+24,2.3213110103760523e+24,1.0,6.077271123623865e+24,2.3213110103760523e+24
Si,Silicon,28.086,Div,solid,6.325929759769472e+24,2.416290157787481e+24,1.0,6.325929759769472e+24,2.416290157787481e+24
P,Phosphorus,30.974,Off,solid,6.976406336932977e+24,2.6647501013782466e+24,1.0,6.976406336932977e+24,2.6647501013782466e+24
S,Sulfur,32.065,Con,solid,7.22213692754426e+24,2.758610834916171e+24,1.0,7.22213692754426e+24,2.758610834916171e+24
Cl,Chlorine,35.453,Div,gas,7.985230640643277e+24,3.0500866967186346e+24,0.6,4.791138384385966e+24,1.8300520180311806e+24
Ar,Argon,39.948,Neu,gas,8.997658692703513e+24,3.436799801441796e+24,0.6,5.398595215622107e+24,2.0620798808650776e+24
K,Potassium,39.098,Off,solid,8.806209561613145e+24,3.3636727404819103e+24,1.0,8.806209561613145e+24,3.3636727404819103e+24
Ca,Calcium,40.078,Neu,solid,9.026939148046746e+24,3.447983940176838e+24,1.0,9.026939148046746e+24,3.447983940176838e+24
Sc,Scandium,44.956,Off,solid,1.0125631926233583e+25,3.8676472382501605e+24,1.0,1.0125631926233583e+25,3.8676472382501605e+24
Ti,Titanium,47.867,Con,solid,1.078128889165012e+25,4.1180859140786634e+24,1.0,1.078128889165012e+25,4.1180859140786634e+24
V,Vanadium,50.942,Off,solid,1.147388427765351e+25,4.382633811080604e+24,1.0,1.147388427765351e+25,4.382633811080604e+24
Cr,Chromium,51.996,Con,solid,1.1711281200205565e+25,4.473311366670864e+24,1.0,1.1711281200205565e+25,4.473311366670864e+24
Mn,Manganese,54.938,Off,solid,1.2373920428050105e+25,4.7264170294284925e+24,1.0,1.2373920428050105e+25,4.7264170294284925e+24
Fe,Iron,55.845,Con,solid,1.2578207912637122e+25,4.804447905064512e+24,1.0,1.2578207912637122e+25,4.804447905064512e+24
Co,Cobalt,58.933,Off,solid,1.327373134417483e+25,5.070114215939957e+24,1.0,1.327373134417483e+25,5.070114215939957e+24
Ni,Nickel,58.693,Neu,solid,1.3219675118925785e+25,5.049466575198341e+24,1.0,1.3219675118925785e+25,5.049466575198341e+24
Cu,Copper,63.546,Div,solid,1.4312737040315844e+25,5.466979077361079e+24,1.0,1.4312737040315844e+25,5.466979077361079e+24
Zn,Zinc,65.38,Off,solid,1.4725816694927298e+25,5.624761465361586e+24,1.0,1.4725816694927298e+25,5.624761465361586e+24
Ga,Gallium,69.723,Off,solid,1.5704009137663138e+25,5.998397730948392e+24,1.0,1.5704009137663138e+25,5.998397730948392e+24
Ge,Germanium,72.64,Div,solid,1.6361017508710905e+25,6.249352597795437e+24,1.0,1.6361017508710905e+25,6.249352597795437e+24
As,Arsenic,74.922,Off,solid,1.6875002117120572e+25,6.445677248513624e+24,1.0,1.6875002117120572e+25,6.445677248513624e+24
